match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Afghanistan vs Bangladesh,Bangladesh,4,Shakib Al Hasan,c & b Naveen-ul-Haq,0,1,1,0,0,0.00
Afghanistan vs Bangladesh,Bangladesh,5,Soumya Sarkar, b Rashid Khan,10,10,18,1,0,100.00
Afghanistan vs Bangladesh,Bangladesh,6,Towhid Hridoy,c Ibrahim Zadran b Rashid Khan,14,9,7,2,0,155.55
Afghanistan vs Bangladesh,Bangladesh,7,Mahmudullah,c sub (†Mohammad Ishaq) b Rashid Khan,6,9,8,1,0,66.66
Afghanistan vs Bangladesh,Bangladesh,8,Rishad Hossain, b Rashid Khan,0,1,1,0,0,0.00
Afghanistan vs Bangladesh,Bangladesh,9,Tanzim Hasan Sakib,c Mohammad Nabi b Gulbadin Naib,3,10,13,0,0,30.00
Afghanistan vs Bangladesh,Bangladesh,10,Taskin Ahmed, b Naveen-ul-Haq,2,9,31,0,0,22.22
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Afghanistan vs South Africa,Afghanistan,1,Rahmanullah Gurbaz,c Hendricks b Jansen,0,3,5,0,0,0.00
Afghanistan vs South Africa,Afghanistan,2,Ibrahim Zadran, b Rabada,2,5,15,0,0,40.00
Afghanistan vs South Africa,Afghanistan,3,Gulbadin Naib, b Jansen,9,8,6,2,0,112.50
Afghanistan vs South Africa,Afghanistan,4,Azmatullah Omarzai,c Stubbs b Nortje,10,12,18,2,0,83.33
Afghanistan vs South Africa,Afghanistan,5,Mohammad Nabi, b Rabada,0,3,1,0,0,0.00
Afghanistan vs South Africa,Afghanistan,6,Nangeyalia Kharote,c †de Kock b Jansen,2,7,5,0,0,28.57
Afghanistan vs South Africa,Afghanistan,7,Karim Janat,lbw b Shamsi,8,13,22,1,0,61.53
Afghanistan vs South Africa,Afghanistan,8,Rashid Khan, b Nortje,8,8,20,2,0,100.00
Afghanistan vs South Africa,Afghanistan,9,Noor Ahmad,lbw b Shamsi,0,2,2,0,0,0.00
Afghanistan vs South Africa,Afghanistan,10,Naveen-ul-Haq,lbw b Shamsi,2,8,9,0,0,25.00
Afghanistan vs South Africa,South Africa,1,Quinton de Kock, b Fazalhaq Farooqi,5,8,7,1,0,62.50
Afghanistan vs South Africa,South Africa,2,Reeza Hendricks,,29,25,44,3,1,116.00
Afghanistan vs South Africa,South Africa,3,Aiden Markram,,23,21,35,4,0,109.52
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
West Indies vs South Africa,West Indies,1,Kyle Mayers,c Stubbs b Shamsi,35,34,53,3,2,102.94
West Indies vs South Africa,West Indies,2,Shai Hope,c Stubbs b Jansen,0,1,3,0,0,0.00
West Indies vs South Africa,West Indies,3,Nicholas Pooran,c Jansen b Markram,1,3,4,0,0,33.33
West Indies vs South Africa,West Indies,4,Roston Chase,c Rabada b Shamsi,52,42,59,3,2,123.80
West Indies vs South Africa,West Indies,5,Rovman Powell,st †de Kock b Maharaj,1,2,2,0,0,50.00
West Indies vs South Africa,West Indies,6,Sherfane Rutherford,c Markram b Shamsi,0,4,5,0,0,0.00
West Indies vs South Africa,West Indies,7,Andre Russell,run out (Nortje),15,9,15,0,2,166.66
West Indies vs South Africa,West Indies,8,Akeal Hosein,c & b Rabada,6,11,12,1,0,54.54
West Indies vs South Africa,West Indies,9,Alzarri Joseph,,11,7,14,0,1,157.14
West Indies vs South Africa,West Indies,10,Gudakesh Motie,,4,7,10,1,0,57.14
West Indies vs South Africa,South Africa,1,Quinton de Kock,c Rutherford b Russell,12,7,10,3,0,171.42
West Indies vs South Africa,South Africa,2,Reeza Hendricks,c †Pooran b Russell,0,1,5,0,0,0.00
West Indies vs South Africa,South Africa,3,Aiden Markram,c Mayers b Joseph,18,15,20,2,0,120.00
West Indies vs South Africa,South Africa,4,Tristan Stubbs,c Mayers b Chase,29,27,55,4,0,107.40
West Indies vs South Africa,South Africa,5,Heinrich Klaasen,c †Pooran b Joseph,22,10,13,3,1,220.00
West Indies vs South Africa,South Africa,6,David Miller, b Chase,4,14,18,0,0,28.57
West Indies vs South Africa,South Africa,7,Marco Jansen,,21,14,22,1,1,150.00
West Indies vs South Africa,South Africa,8,Keshav Maharaj,c Joseph b Chase,2,6,9,0,0,33.33
